------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------------  
                                                        Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                            Input Shapes  
------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------------  
                                                 aten::empty         1.78%      14.536ms         1.78%      14.536ms       7.943us       0.000us         0.00%       0.000us       0.000us          40 B          40 B       7.78 GB       7.78 GB          1830                                                                [[], [], [], [], [], []]  
                                                   aten::mul         1.47%      11.975ms         1.61%      13.095ms     218.243us       8.458ms         2.39%       8.458ms     140.966us           0 B           0 B       1.80 GB       1.80 GB            60                                                              [[64, 984, 1], [984, 128]]  
                                                   aten::add         0.18%       1.492ms         0.27%       2.241ms      37.343us      16.426ms         4.64%      16.426ms     273.767us           0 B           0 B       1.80 GB       1.80 GB            60                                                     [[64, 984, 128], [1, 984, 128], []]  
                                             aten::clamp_min         0.12%     945.781us         0.20%       1.621ms      27.014us      16.607ms         4.69%      16.607ms     276.779us           0 B           0 B       1.80 GB       1.80 GB            60                                                                    [[64, 984, 128], []]  
                                                    aten::mm         0.19%       1.558ms         0.27%       2.230ms      37.168us      20.900ms         5.90%      20.900ms     348.338us           0 B           0 B       1.80 GB       1.80 GB            60                                                               [[8192, 128], [128, 984]]  
                                    aten::threshold_backward         0.15%       1.224ms         0.26%       2.094ms      34.899us      23.618ms         6.67%      23.618ms     393.632us           0 B           0 B       1.80 GB       1.80 GB            60                                                    [[64, 984, 128], [64, 984, 128], []]  
                                                   aten::mul         0.13%       1.026ms         0.21%       1.708ms      28.464us      15.915ms         4.49%      15.915ms     265.245us           0 B           0 B       1.80 GB       1.80 GB            60                                                          [[64, 984, 128], [64, 984, 1]]  
                                                   aten::mul         0.16%       1.305ms         0.27%       2.187ms      18.229us       5.519ms         1.56%       5.519ms      45.996us           0 B           0 B     480.00 MB     480.00 MB           120                                                        [[64, 128, 128], [64, 128, 128]]  
                                                    aten::mm         0.37%       3.025ms         0.64%       5.201ms      86.691us      24.642ms         6.96%      24.642ms     410.692us           0 B           0 B     240.00 MB     240.00 MB            60                                                               [[8192, 984], [984, 128]]  
                                                   aten::mul         0.17%       1.377ms         0.24%       1.969ms      32.815us       2.253ms         0.64%       2.253ms      37.545us           0 B           0 B     240.00 MB     240.00 MB            60                                                           [[1, 128, 1], [64, 128, 128]]  
                                                   aten::add         0.14%       1.176ms         0.21%       1.734ms      28.900us       2.280ms         0.64%       2.280ms      38.004us           0 B           0 B     240.00 MB     240.00 MB            60                                                       [[64, 128, 128], [1, 128, 1], []]  
                                                   aten::mul         0.18%       1.435ms         0.25%       2.076ms      34.608us       1.787ms         0.50%       1.787ms      29.789us           0 B           0 B     240.00 MB     240.00 MB            60                                                          [[64, 128, 1], [64, 128, 128]]  
                                                   aten::mul         0.14%       1.181ms         0.24%       1.925ms      32.081us       1.050ms         0.30%       1.050ms      17.496us           0 B           0 B     240.00 MB     240.00 MB            60                                                          [[64, 128, 128], [64, 128, 1]]  
                                                    aten::mm         0.26%       2.148ms         0.36%       2.949ms      49.147us     633.457us         0.18%     633.457us      10.558us           0 B           0 B     240.00 MB     240.00 MB            60                                                                   [[8192, 1], [1, 128]]  
                                                   aten::mul         0.12%       1.003ms         0.19%       1.557ms      25.957us       1.941ms         0.55%       1.941ms      32.349us           0 B           0 B     240.00 MB     240.00 MB            60                                                           [[64, 128, 128], [1, 128, 1]]  
                                         aten::empty_strided         0.72%       5.883ms         0.72%       5.883ms       6.128us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     101.69 MB     101.69 MB           960                                                                [[], [], [], [], [], []]  
                                                   aten::sum         0.24%       1.927ms         0.37%       3.039ms      25.322us      17.111ms         4.83%      17.111ms     142.594us           0 B           0 B      57.66 MB      57.66 MB           120                                                            [[64, 984, 128], [], [], []]  
                                                    aten::mm         0.40%       3.225ms         0.52%       4.208ms      70.131us     866.894us         0.24%     866.894us      14.448us           0 B           0 B      28.83 MB      28.83 MB            60                                                                [[128, 128], [128, 984]]  
                                              aten::_softmax         0.22%       1.812ms         0.34%       2.788ms      46.463us     355.351us         0.10%     355.351us       5.923us           0 B           0 B      28.83 MB      28.83 MB            60                                                                    [[128, 984], [], []]  
                                                    aten::mm         0.29%       2.357ms         0.51%       4.126ms      68.767us      19.779ms         5.59%      19.779ms     329.649us           0 B           0 B      28.83 MB      28.83 MB            60                                                              [[128, 8192], [8192, 984]]  
------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------------  
