------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------------  
                                                        Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                            Input Shapes  
------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------------  
                                                     forward         0.00%       0.000us         0.00%       0.000us       0.000us     161.430ms        45.59%     161.430ms      16.143ms           0 B           0 B           0 B           0 B            10                                                                                      []  
                                               ProfilerStep*         1.57%      12.757ms        74.87%     610.278ms      61.028ms       0.000us         0.00%     148.357ms      14.836ms     246.25 KB      -2.16 MB           0 B      -2.41 MB            10                                                                                      []  
                                                     forward         2.65%      21.615ms        25.96%     211.613ms      21.161ms       0.000us         0.00%     138.795ms      13.880ms           0 B           0 B       4.18 GB      -2.07 GB            10                                                                                      []  
                                      cell_feature_embedding         0.00%       0.000us         0.00%       0.000us       0.000us      81.577ms        23.04%      81.577ms       1.360ms           0 B           0 B           0 B           0 B            60                                                                                      []  
                                      cell_feature_embedding         1.86%      15.170ms         5.00%      40.718ms     678.631us       0.000us         0.00%      76.233ms       1.271ms           0 B           0 B       3.63 GB      -3.60 GB            60                                                                                      []  
autograd::engine::evaluate_function: NativeLayerNormBackw...         0.71%       5.828ms         4.05%      32.985ms     137.437us       0.000us         0.00%      72.539ms     302.246us           0 B           0 B     -35.48 MB      -1.87 GB           240                                                                                      []  
                                    NativeLayerNormBackward0         0.08%     650.941us         0.77%       6.281ms     104.689us       0.000us         0.00%      70.324ms       1.172ms           0 B           0 B       1.80 GB           0 B            60                                                                        [[64, 984, 128]]  
                            aten::native_layer_norm_backward         0.15%       1.209ms         0.69%       5.630ms      93.840us      49.714ms        14.04%      70.324ms       1.172ms           0 B           0 B       1.80 GB      -1.80 GB            60      [[64, 984, 128], [64, 984, 128], [], [64, 984, 1], [64, 984, 1], [128], [128], []]  
                                           cell_weighted_sum         0.00%       0.000us         0.00%       0.000us       0.000us      61.426ms        17.35%      61.426ms       1.024ms           0 B           0 B           0 B           0 B            60                                                                                      []  
                                           cell_weighted_sum         1.34%      10.911ms         4.60%      37.532ms     625.527us       0.000us         0.00%      53.608ms     893.461us           0 B           0 B       2.27 GB    -240.00 MB            60                                                                                      []  
void at::native::elementwise_kernel<128, 2, at::native::g...         0.00%       0.000us         0.00%       0.000us       0.000us      49.028ms        13.85%      49.028ms     115.088us           0 B           0 B           0 B           0 B           426                                                                                      []  
                                                aten::matmul         0.24%       1.997ms         2.20%      17.909ms     298.485us       0.000us         0.00%      48.978ms     816.292us           0 B           0 B       2.04 GB    -240.00 MB            60                                                            [[128, 984], [64, 984, 128]]  
                                   Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us      48.826ms        13.79%      48.826ms       4.883ms           0 B           0 B           0 B           0 B            10                                                                                      []  
            autograd::engine::evaluate_function: MmBackward0         0.30%       2.477ms         2.49%      20.338ms     169.481us       0.000us         0.00%      42.743ms     356.194us           0 B           0 B    -240.00 MB      -2.10 GB           120                                                                                      []  
                                                 MmBackward0         0.13%       1.089ms         1.13%       9.210ms     153.505us       0.000us         0.00%      40.679ms     677.986us           0 B           0 B       1.83 GB           0 B            60                                                                           [[8192, 128]]  
void at::native::(anonymous namespace)::vectorized_layer_...         0.00%       0.000us         0.00%       0.000us       0.000us      36.033ms        10.18%      36.033ms     150.139us           0 B           0 B           0 B           0 B           240                                                                                      []  
           autograd::engine::evaluate_function: MulBackward0         0.49%       4.006ms         2.11%      17.173ms      95.405us       0.000us         0.00%      35.710ms     198.390us           0 B           0 B      -1.77 GB      -4.54 GB           180                                                                                      []  
                                            aten::layer_norm         0.21%       1.744ms         0.79%       6.424ms     107.071us       0.000us         0.00%      34.742ms     579.032us           0 B           0 B       1.83 GB           0 B            60                                              [[64, 984, 128], [], [128], [128], [], []]  
                                     aten::native_layer_norm         0.28%       2.314ms         0.57%       4.681ms      78.013us      34.742ms         9.81%      34.742ms     579.032us           0 B           0 B       1.83 GB           0 B            60                                                  [[64, 984, 128], [], [128], [128], []]  
void at::native::elementwise_kernel<128, 2, at::native::g...         0.00%       0.000us         0.00%       0.000us       0.000us      34.346ms         9.70%      34.346ms      80.625us           0 B           0 B           0 B           0 B           426                                                                                      []  
------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------------  
